Application,Autopkg Recipe,Notes,Recipe Type
Google Chrome,https://github.com/autopkg/recipes/blob/master/GoogleChrome/GoogleChromePkg.munki.recipe,,Munki
Claude,,,
Diffchecker,,,
Discord,,,
Github Desktop,,,
iMazing Profile Editor,,,
Jamf Compliance Editor,,,
Logi Options+,,,
Loopback,,Licensed,
Magnet,,,
Managed Software Center,,,
Microsoft Excel,,,
Microsoft PowerPoint,,,
Microsoft Word,,,
NordVPN,,,
Notion,,,
OBS,,,
Okta Verify,https://github.com/autopkg/nstrauss-recipes/blob/master/Okta%20Verify/OktaVerify.munki.recipe,,
OneDrive,,,
Python,,,
Recipe Robot,,,
Slack,,,
Spotify,,,
Suspicious Package,,,
Apparency,,,
Telegram,,,
VS Code,,,
Whatsapp,,,
Zoom,,,
fleetd,https://github.com/autopkg/kevinmcox-recipes/blob/master/Fleet/fleetd.munki.recipe.yaml,,
fleetctl,https://github.com/autopkg/jc0b-recipes/blob/master/Fleet/fleetctl.munki.recipe.yaml,,
munki,https://github.com/autopkg/recipes/blob/master/munkitools/munkitools.munki.recipe,,
salt,https://github.com/autopkg/mosen-recipes/blob/master/SaltStack/salt.munki.recipe,,
